--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83781;02/04/1961;1200;20.1;17.2;75;924.2;0;0;9;
83781;02/04/1961;1800;26.4;18.6;46;921.2;32;3.1;8;
83781;03/04/1961;0000;21.3;17.9;71;922.7;5;3.1;8;
83781;03/04/1961;1200;22.9;18.9;68;922.6;0;0;5;
83781;03/04/1961;1800;26.1;19.8;55;920.7;36;7.7;8;
83781;04/04/1961;0000;22.1;18.6;71;921.2;0;0;10;
83781;04/04/1961;1200;22.1;18.8;72;919.8;36;7.2;10;
83781;04/04/1961;1800;18.8;16.2;77;920.6;32;7.7;10;
83781;05/04/1961;0000;19.4;18.1;87;923.1;36;3.1;10;
83781;05/04/1961;1200;20;18.4;86;925;36;3.1;8;
83781;05/04/1961;1800;24.1;21.5;79;922.4;32;5.1;10;
83781;06/04/1961;0000;18.8;18.5;97;924.7;0;0;6;
83781;06/04/1961;1200;19.4;18;86;929.1;0;0;10;
83781;06/04/1961;1800;22.9;19.2;71;928;18;5.1;6;
83781;07/04/1961;0000;18.1;17.4;93;930.4;14;4.1;10;
83781;07/04/1961;1200;18.8;18;92;931.2;9;3.6;10;
83781;07/04/1961;1800;22.9;19.3;71;928.7;14;7.7;6;
83781;08/04/1961;0000;18.5;17.6;91;929.4;9;3.1;7;
83781;08/04/1961;1200;21.8;19;77;928.6;5;3.1;2;
83781;08/04/1961;1800;28.4;21.9;55;925.9;32;3.1;8;
83781;09/04/1961;0000;20.4;19.8;94;928.2;0;0;10;
83781;09/04/1961;1200;20.4;19.6;92;929.4;0;0;10;
83781;09/04/1961;1800;28;22.3;60;925.6;27;5.1;4;
83781;10/04/1961;0000;20.8;19.7;90;928.4;14;3.1;10;
83781;10/04/1961;1200;21.5;19.7;85;928.7;9;2.1;10;
83781;10/04/1961;1800;25.1;21.8;74;925.2;14;5.1;10;
83781;11/04/1961;0000;20.3;19.6;93;926.3;14;3.6;10;
83781;11/04/1961;1200;21.7;20;86;926;5;3.6;10;
83781;11/04/1961;1800;28;22;58;923.2;32;5.1;5;
83781;12/04/1961;0000;22.3;21.2;91;925.2;0;0;2;
83781;12/04/1961;1200;23.9;21.3;79;926.3;0;0;8;
83781;12/04/1961;1800;28.8;22.1;56;923.9;0;0;6;
83781;13/04/1961;0000;23.1;21;83;925.8;0;0;0;
83781;13/04/1961;1200;24.6;21.9;79;926;0;0;3;
83781;13/04/1961;1800;29.7;23;55;923.9;32;6.2;3;
83781;14/04/1961;0000;23.7;20.6;75;926.3;0;0;5;
83781;14/04/1961;1200;22;20.9;90;928.4;5;2.6;10;
83781;14/04/1961;1800;25.7;21.3;67;925.6;14;3.1;6;
83781;15/04/1961;0000;20.8;19.9;92;927.4;14;2.6;10;
83781;15/04/1961;1200;19.9;19.2;94;928.4;9;2.1;10;
83781;15/04/1961;1800;26.8;21.9;64;925.2;14;3.1;9;
83781;16/04/1961;0000;21;19.9;90;927;14;2.6;10;
83781;16/04/1961;1200;22.1;20;82;928.7;5;2.1;7;
83781;16/04/1961;1800;28;22.3;60;925.8;0;0;6;
83781;17/04/1961;0000;21.3;19.9;87;927.6;14;1.5;10;
83781;17/04/1961;1200;22.7;20;78;928.7;0;0;10;
83781;17/04/1961;1800;28.2;20.6;50;925.2;0;0;3;
83781;18/04/1961;0000;21.4;20.4;91;925.8;14;2.1;0;
83781;18/04/1961;1200;23.3;19.6;71;925.9;0;0;2;
83781;18/04/1961;1800;27;19.3;48;922.4;32;5.1;6;
83781;19/04/1961;0000;22.1;17.8;64;923.1;32;2.6;9;
83781;19/04/1961;1200;18.6;17.4;88;926;18;3.6;10;
83781;19/04/1961;1800;18.9;16.9;82;925.6;14;5.1;10;
83781;20/04/1961;0000;15.1;14.3;92;927.8;14;4.1;10;
83781;20/04/1961;1200;15.6;14.6;89;927.6;18;3.1;10;
83781;20/04/1961;1800;19;15.9;72;925.4;9;3.1;10;
83781;21/04/1961;0000;16;14.5;85;927.2;9;3.6;10;
83781;21/04/1961;1200;16.4;15.4;90;928.2;9;3.1;10;
83781;21/04/1961;1800;17.9;16.2;84;926.8;9;3.1;10;
83781;22/04/1961;0000;17;16.4;94;928.2;9;2.6;10;
83781;22/04/1961;1200;18.1;16.6;86;928.6;5;3.1;7;
83781;22/04/1961;1800;26.4;19.9;54;925.1;36;2.6;9;
83781;23/04/1961;0000;20;18.6;87;925.5;0;0;0;
83781;23/04/1961;1200;20.3;18.3;83;926.6;0;0;10;
83781;23/04/1961;1800;23.2;19.2;69;925;36;2.6;10;
83781;24/04/1961;0000;20.2;18.7;87;926.3;0;0;10;
83781;24/04/1961;1200;21.1;19.4;85;926.7;23;2.6;4;
83781;24/04/1961;1800;25.8;21;64;923.5;0;0;10;
83781;25/04/1961;0000;19.6;19.3;97;925.9;14;2.6;10;
83781;25/04/1961;1200;19.1;18.2;91;927.8;9;1.5;10;
83781;25/04/1961;1800;20.8;19.8;91;921.8;18;5.1;10;
83781;26/04/1961;0000;18.2;17.8;96;923.1;5;4.1;10;
83781;26/04/1961;1200;17.6;16.7;91;921;5;0.5;10;
83781;26/04/1961;1800;20.8;18;76;921;23;7.7;10;
83781;27/04/1961;0000;14.1;13.4;93;924.4;0;0;4;
83781;27/04/1961;1200;15.4;14.6;92;925.9;0;0;1;
