--------------------
BDMEP - INMET
--------------------
Estação           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Estação Operante
Inicio de operação: 01/01/1917
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83743;24/03/1961;1200;26.2;23.6;80;1014.3;36;1;2;
83743;24/03/1961;1800;29.5;25.4;70;1012;14;4;3;
83743;25/03/1961;0000;26.6;23.4;75;1013;5;1;0;
83743;25/03/1961;1200;26.6;22.6;70;1013.4;0;0;0;
83743;25/03/1961;1800;29.2;24;63;1010.2;14;3;1;
83743;26/03/1961;0000;26.7;23.2;73;1011.1;0;0;0;
83743;26/03/1961;1200;27.1;24.1;77;1010.2;32;1.3;5;
83743;26/03/1961;1800;29;25.2;72;1008.2;14;4;5;
83743;27/03/1961;0000;25.8;22.8;76;1012.7;0;0;10;
83743;27/03/1961;1200;25.1;22;75;1015.9;0;0;9;
83743;27/03/1961;1800;25.1;21.3;69;1014.8;14;2;8;
83743;28/03/1961;0000;22;19.2;76;1017.8;14;3;10;
83743;28/03/1961;1200;20.1;19.2;92;1020;27;1;10;
83743;28/03/1961;1800;24.6;18.7;54;1018.2;9;1.3;9;
83743;29/03/1961;0000;22.8;19.6;73;1019.5;5;5;8;
83743;29/03/1961;1200;22.7;20;77;1019.1;0;0;5;
83743;29/03/1961;1800;25;19.2;56;1016.6;14;4;7;
83743;30/03/1961;0000;22.1;19.6;78;1018.2;5;1;10;
83743;30/03/1961;1200;21.8;19.6;81;1018.2;0;0;4;
83743;30/03/1961;1800;24.6;20.2;65;1015.6;14;2.5;8;
83743;31/03/1961;0000;22.6;19.6;75;1017.8;0;0;7;
83743;31/03/1961;1200;23;20.5;79;1016.8;0;0;2;
83743;31/03/1961;1800;25.1;20.6;65;1013.8;14;4;3;
83743;01/04/1961;0000;23.4;19.4;67;1015.5;0;0;4;
83743;01/04/1961;1200;23.1;20.8;80;1014.8;0;0;4;
83743;01/04/1961;1800;26.8;21.2;58;1009.6;14;4;2;
83743;02/04/1961;0000;24.2;20;67;1011.9;5;1;4;
83743;02/04/1961;1200;24.6;21.5;75;1010.3;0;0;5;
83743;02/04/1961;1800;31;23.3;50;1006.4;0;0;8;
83743;03/04/1961;0000;27.2;21.1;56;1007.8;0;0;0;
83743;03/04/1961;1200;27.6;22.6;63;1007.9;0;0;5;
83743;03/04/1961;1800;31.6;23.4;48;1004.8;14;2.3;8;
83743;04/04/1961;0000;28.6;22.9;59;1006.4;0;0;3;
83743;04/04/1961;1200;30.1;23.6;56;1005.9;0;0;6;
83743;04/04/1961;1800;32.6;24.5;50;1003;0;0;9;
83743;05/04/1961;0000;28.8;24.2;67;1006.6;0;0;10;
83743;05/04/1961;1200;28.3;25.2;77;1009;0;0;9;
83743;05/04/1961;1800;31;24.2;55;1007.1;14;5.7;4;
83743;06/04/1961;0000;25.4;23.3;83;1011.2;14;2;10;
83743;06/04/1961;1200;26.1;23.9;82;1013;0;0;9;
83743;06/04/1961;1800;27.4;22.9;67;1012.6;0;0;9;
